	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985213123203358722	BancoInter	2018-04-14 17:48:07	Banco Inter	@Amandasmendes1 Oi, Amanda! O prazo para o recebimento do cartão é de até 15 dias úteis. ;)	0	0		115265	3193
985213016231895040	BancoInter	2018-04-14 17:47:42	Juupiter - O pior streamer do mundo	@Bancointer @SaoPauloFC @Bancointer Parabéns, ganharam mais um cliente tricolor, vou mandar os documentos para abrir minha conta kkkk &lt;3	0	1		22	263
985212653080666112	BancoInter	2018-04-14 17:46:15	Erika	"Chegou o laranjinha mais querido do Braseeeel????
@Bancointer Best Ever.
Por ele a gente até arrisca falar inglês. HAHAHA ?? https://t.co/rbyzBb0TCr"	1	31		244	112
985210056563097601	BancoInter	2018-04-14 17:35:56	JuuH	Se tiverem a oportunidade de migrar sua conta do @santander_br  para o @Bancointer .. FAÇAM!	0	1		178	185
985209734151200768	BancoInter	2018-04-14 17:34:39	aderbal	@Bancointer Como ter um cartão de Crédito do Banco Inter?	0	0		41	129
985209458308591616	BancoInter	2018-04-14 17:33:33	Gervasio Silveira Moura Filho	@LeandroPorttela @SPFCBancoInter @Bancointer Eu já indiquei 3 tbm... Manda pra mim tbm, @Bancointer	0	0		8	46
985208980619382784	BancoInter	2018-04-14 17:31:39	Banco Inter	"@gfcunha95 Oi, tudo bem? Você pode ler mais a respeito em nosso blog ""Conta com a gente"": https://t.co/O4LXVGjsMf Qualquer dúvida pode contar com a gente! ;)"	0	1		115265	3193
985207378760077317	BancoInter	2018-04-14 17:25:18	Banco Inter	@will_hk Oi, William! Tudo bem? Tivemos uma inconsistência temporária, que já foi corrigida por nossa equipe. Tente acessar seu app novamente, por gentileza. Qualquer dúvida continuamos à disposição para te ajudar. ?	0	0		115265	3193
985206198659174401	BancoInter	2018-04-14 17:20:36	Wesley Paulino	@Bancointer Aaaah entendi. Obrigado ??	0	1		224	196
985206173900124160	BancoInter	2018-04-14 17:20:30	Banco Inter	@leandrolatini Oi, Leandro! Chama a gente por DM para verificarmos pra você. Vamos conversar melhor por lá. ?	0	0		115265	3193
985205146446647296	BancoInter	2018-04-14 17:16:25	Banco Inter	@mauricioqsjr Oi, Mauricio! As assinaturas devem ser iguais à do documento enviado para a abertura de conta. Mas pode ficar tranquilo que vamos verificar pra você. Chama a gente por DM para conversarmos melhor. ?	0	0		115265	3193
985204531347755008	BancoInter	2018-04-14 17:13:59	Victor	@Bancointer Obrigado. ??	0	1		656	20
985204408916107264	BancoInter	2018-04-14 17:13:29	Banco Inter	@soaresvictorx Oi, Victor! Tivemos uma inconsistência temporária que já foi corrigida por nossa equipe. Pode ficar tranquilo que estamos acompanhando, ok? Qualquer dúvida continuamos à disposição. ?	0	1		115265	3193
985202284152934400	BancoInter	2018-04-14 17:05:03	Erick John!	@kennedycazevedo @Bancointer Deixa de chorar cara! Faz o teu!	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, id='c9f2f46c0d1b963d', url='https://api.twitter.com/1.1/geo/id/c9f2f46c0d1b963d.json', place_type='city', name='João Pessoa', full_name='João Pessoa, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, type='Polygon', coordinates=[[[-34.9738347, -7.243257], [-34.792907, -7.243257], [-34.792907, -7.055696], [-34.9738347, -7.055696]]]), attributes={})	462	3343
985196106295533569	BancoInter	2018-04-14 16:40:30	Dagmar Cirino ??	@Bancointer no extrato de compras da loja, só aparece um movimento da minha compra. Vão devolver meu dinheiro, dar crédito, desculpas, pedir para eu abrir reclamação no Bacen, pedir para eu migrar meus investimentos a outro banco... Oque vão querer?	0	0		253	228
985196103640510464	BancoInter	2018-04-14 16:40:29	Dagmar Cirino ??	@Bancointer Como vocês não tem um sistema de identificação de duplicidade no pagamento de compra? A maquininha deu erro na primeira tentativa, 15s depois tudo ok. Mas por incrível que pareça, foi debitado 2 vezes da minha conta. E vocês não tem nada a ver com isso? Tão loucos?	0	0		253	228
985195296585060352	BancoInter	2018-04-14 16:37:17	emerson gomes	"@Bancointer 
Estou necessitando de aumento no limite do meu cartão de crédito. Ficarei extremamente contente se podessem me ajudar com esse problema."	0	0		6	70
985192901033496580	BancoInter	2018-04-14 16:27:46	Guilherme Travassos	@eu_andersoon @nubank @Bancointer Avanço msm. Tentei transferir meu saldo de @TIM_AJUDA pra Tim no msm CPF e não foi possível. @nubank é vida, empresas de outros ramos tem q se adaptar ao futuro assim como o roxinho!	0	1		43	230
985191920619130880	BancoInter	2018-04-14 16:23:52	SrPepper	@Bancointer minha conta mei já foi aprovado mas não estou conseguindo ativar ela. Pede um código enviado pelo mail mas quando eu boto ele diz incorreto. Ajuda!	0	0		293	237
985187434269986817	BancoInter	2018-04-14 16:06:02	Banco Inter	@GabrielleNevix Oi, Gabrielle! Compras online e internacionais só podem ser feitas na função crédito.	0	1		115265	3193
985187045218881539	BancoInter	2018-04-14 16:04:30	indira	@Bancointer Aí simmmm Banco moderno é outra historia. Vlw, banco inter ??	0	1		41	91
985186702502309888	BancoInter	2018-04-14 16:03:08	Banco Inter	@lNDlRA Oi, !ndira! Você pode entrar com contas diferentes no mesmo aparelho - é só você alterar os dados da conta ao abrir o app. Mas vamos enviar sua sugestão para nossa equipe verificar, ok? https://t.co/AmT0YgeiHj	0	0		115265	3193
985186165014884353	BancoInter	2018-04-14 16:01:00	Gustavo	@rickfrancisco @Bradesco @Bancointer Só acho que o banco @Bancointer parace de tentar fechar as contas de Exchanges de bitcoin, caiu no meu conceito comunidade brasileira gosta muito dos serviço do inter mas com isso fica difícil #ficaadica	0	0		68	248
985185420785913856	BancoInter	2018-04-14 15:58:02	Dhiego Pagoto	@Bancointer Vocês poderiam criar um controle financeiro no APP de vocês, categorizando automaticamente os lançamentos, permitindo alterar as categorias, bem como colocar Centro de Custos, Contas a Pagar... entre outros.	0	0		121	316
985185388598824960	BancoInter	2018-04-14 15:57:55	Banco Inter	@kimpastro Que bom que deu tudo certo, Kim! Se precisar de algo mais, pode contar com a gente! ;)	0	0		115265	3193
985184947748114433	BancoInter	2018-04-14 15:56:10	David Lacerda	RT @ViniciusGNC: Se tem uma coisa que merece aplausos é o serviço que o @Bancointer faz com atendimento ao cliente no Twitter	1	0		9	10
985183956181057536	BancoInter	2018-04-14 15:52:13	aninha	@Bancointer oii!! bom dia!! eu depositei ontem pra minha conta no inter por meio de DOC, vai entrar como dinheiro no débito pra conta corrente né? :)	0	0		259	161
985182734476894210	BancoInter	2018-04-14 15:47:22	Banco Inter	@paulinowesley Oi, Wesley! A caneta é enviada aos clientes somente quando sua primeira aplicação no Banco Inter tem o valor de R$5.000,00 ou mais. Para ganhar a caneta, este valor pode estar distribuído em modalidades diferentes de aplicação, mas todas devem ser no mesmo dia. https://t.co/g8BZZnu6Xo	0	1		115265	3193
985181866004230145	BancoInter	2018-04-14 15:43:55	Banco Inter	@thabarbosa86 Oi, Thais! Em breve voltaremos com essa modalidade de seguros. Fique de olho em nossas novidades. ;)	0	0		115265	3193
985178099254988801	BancoInter	2018-04-14 15:28:57	Banco Inter	@xdlirax Oi, Thiago! Vamos verificar pra você. Veja suas DMs.	0	1		115265	3193
985175655452200960	BancoInter	2018-04-14 15:19:14	Erick John!	@Bancointer Tem LCA também né!?	0	0		462	3343
985171800773615620	BancoInter	2018-04-14 15:03:55	Banco Inter	@rafaelreich Oi, Rafael! Aguarde esse prazo e faça uma nova solicitação. Nossa equipe te dará um retorno por e-mail, ok?	0	0		115265	3193
985171460523282436	BancoInter	2018-04-14 15:02:34	Jéssica	@Book_OnTheTable @Bancointer Eu tenho a nuconta tb, é q a do inter é mais parecida com conta corrente, tem mais coisa é tal  :P	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8D46A0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	109	195
985170228379291648	BancoInter	2018-04-14 14:57:40	Mateus Frossard Papini	Estou me despedindo do meu banco antigo e agora sou @Bancointer. Recomendação do meu primo e meu amigo que trabalham lá. E realmente, até agora me parece prometer com o que falaram. Muitas vantagens e totalmente digital, minha cara.	0	5		1438	388
985167095334748160	BancoInter	2018-04-14 14:45:13	Daniel Baeder	"Não consigo acessar o banco inter, pelo site e pelo app.... estranho.
Alguém sabe o que está acontecendo? O site desaparece aparece o Google search.
#bancointer #dojapao #foradobrasil #bancointermedium"	0	0		10	149
985165708911882240	BancoInter	2018-04-14 14:39:43	B. Pimenta	@Bancointer tinha a intenção de receber a restituição por vcs, mas no programa IRPF quando escolho o 077 como banco aparentemente o layout da conta não muda e não consigo colocar minha conta correta. O que faço?	0	0		170	221
985164244764315648	BancoInter	2018-04-14 14:33:54	???	@Jeka_Naka @Bancointer Vou dar uma olhadinha, obrigado! Eu acabei de abrir a NuConta, mas ainda ta na fase beta e vou ver se gosto (:	0	0		3953	200
985163922721394688	BancoInter	2018-04-14 14:32:37	Flávio Passagli	#Agilzinha #BancoInter corra, e aplique seu dinheiro!!!!!	0	0		303	817
985163831679815681	BancoInter	2018-04-14 14:32:15	Flávio Passagli	RT @Bancointer: Caiu mesmo! Agora você financia seu imóvel com taxa lá embaixo: a partir de 10,5% ao ano. Levanta a cabeça e solicite uma p…	24	0		303	817
985163736309731328	BancoInter	2018-04-14 14:31:52	Daniel Paim	@Bancointer eu faço tanto por vocês! Eu só queria 100 reais (CEM REAIS) de LIMITE DE CRÉDITO, seria pedir muito? ??	0	0		109	142
985163654160158725	BancoInter	2018-04-14 14:31:33	joao pedro de barro	"@Bancointer ontem fui fazer uma compra e ficava aparecendo “senha incorreta” na maquininha
tentei mudar a senha no app
dava erro e eu não conseguia fazer nada
alguém ajuda urgenteeee"	0	0		1296	402
985163106627260424	BancoInter	2018-04-14 14:29:22	Jean	@Bancointer quando vocês vão liberar o cartão de crédito para o Apple Pay? Quero muitoooo! ?	0	0		18	51
985162481780903937	BancoInter	2018-04-14 14:26:53	Mi Delfito	@Bancointer se eu deixar dinheiro na conta ele irá render quanto?	0	0		125	145
985162051898273792	BancoInter	2018-04-14 14:25:11	Anna Wintour	paguei o boleto do @Bancointer quinta e até hj o saldo não mudou	0	0		349	254
985152041097027584	BancoInter	2018-04-14 13:45:24	iago	ameeeeeyyyy que o @Bancointer me liberou 1000 reais de CRÉDITO	0	3		483	403
985145998648446977	BancoInter	2018-04-14 13:21:23	Jordan Costa	@DicastroNetto @Marcoaflg @Bancointer Podia mandar esse presente pra mim TB, @Bancointer .	0	0		57	193
985142146012508162	BancoInter	2018-04-14 13:06:05	basharalassabi	@Bancointer como vcs resolvem o meu problema?	0	0		207	148
985134600375754752	BancoInter	2018-04-14 12:36:06	Marco Aurélio	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	48	0		16	116
985134135562915840	BancoInter	2018-04-14 12:34:15	Jéssica	@eu_andersoon @nubank @Bancointer Melhores bancos da atualidade!	0	3		61	157
