	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986620932566470656	banco do brasil	2018-04-18 15:02:15	manolinarias	RT @JornalOGlobo: Jovem brasileiro assassinado em Nova York era filho de diretor do Banco do Brasil https://t.co/hAuTgDsD2U #MarinaCaruso h…	27	0		2744	3183
986620923808829441	banco do brasil	2018-04-18 15:02:13	Thiago Dias	Jovem brasileiro assassinado em Nova York era filho de diretor do Banco do Brasil https://t.co/nUbEvlGG9j #MarinaCaruso https://t.co/hG2gGlP4MK	0	0		316	555
986620800567562240	banco do brasil	2018-04-18 15:01:44	vitor naves	RT @JornalOGlobo: Jovem brasileiro assassinado em Nova York era filho de diretor do Banco do Brasil https://t.co/hAuTgDsD2U #MarinaCaruso h…	27	0		634	507
986620663849926657	banco do brasil	2018-04-18 15:01:11	Bruno#sigo todos#	RT @Bancointer: Curta e fique por dentro das novidades e inovações do Banco mais democrático do Brasil. https://t.co/8olX1A1o6z	74	0		1790	2072
986620566349205504	banco do brasil	2018-04-18 15:00:48	Investing Brasil	Banco do Brasil Investimentos inicia cobertura de ações da BR Distribuidora  - https://t.co/35b1bouTUe	0	1		4215	174
986620446811574273	banco do brasil	2018-04-18 15:00:19	Surto Olímpico	Jogadores de Handebol apresentam manifesto contra saída de patrocínio do Banco do Brasil https://t.co/SbeAFrS55w	1	3		15980	1278
986620383917936640	banco do brasil	2018-04-18 15:00:04	Jornal O Globo	Jovem brasileiro assassinado em Nova York era filho de diretor do Banco do Brasil https://t.co/hAuTgDsD2U #MarinaCaruso https://t.co/6bd4mhePlE	27	56		5615658	8161
986620383423090688	banco do brasil	2018-04-18 15:00:04	Maria Victoria ???	RT @robe_sampaio: Conta poupança, Banco do Brasil, 14.225-5, agência 1834-1, Luciana Almeida Sampaio	93	0		143	166
986620325520728064	banco do brasil	2018-04-18 14:59:50	KIM ENKENBECK	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		2690	719
986620164350398464	banco do brasil	2018-04-18 14:59:12	bárbara	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		415	831
986619843335065602	banco do brasil	2018-04-18 14:57:55	Kananda Ferreira ??	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		963	410
986619520038121472	banco do brasil	2018-04-18 14:56:38	vc-sabe-quem	@AdiosEliaquim Banco do Brasil mesmo.	0	0		2360	2301
986619224855629824	banco do brasil	2018-04-18 14:55:28	grazi	RT @LucasCollar: Lucca já está em Porto Alegre. Anuncio do jogador deve acontecer após a volta do Inter de Salvador para o jogo da Copa do…	31	0		1757	313
986619006386884608	banco do brasil	2018-04-18 14:54:36	leilane	amigos do Maiobão onde tem um banco do Brasil?	0	0		95	89
986618941236826114	banco do brasil	2018-04-18 14:54:20	Amanda Tyska	RT @robe_sampaio: Conta poupança, Banco do Brasil, 14.225-5, agência 1834-1, Luciana Almeida Sampaio	93	0		707	384
986618916431540224	banco do brasil	2018-04-18 14:54:14	Pacheco	"Retweeted Alexandre Garcia (@alexandregarcia):

Cinco a zero em Aécio. Nenhum juiz da turma do Supremo teve dúvida de que empréstimo se pede ao banco, não ao frigorífico."	0	0		365	588
986618908554792960	banco do brasil	2018-04-18 14:54:12	Pacheco	RT @alexandregarcia: Cinco a zero em Aécio. Nenhum juiz da turma do Supremo teve dúvida de que empréstimo se pede ao banco, não ao frigoríf…	5388	0		365	588
986618887528763392	banco do brasil	2018-04-18 14:54:07	Paulo	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	12265	0		112	124
986618443213484034	banco do brasil	2018-04-18 14:52:22	j.carla	queria entrar no site do banco do brasil e entrei no do big brother brasil, sera se to loca	0	0		434	285
986617988731285504	banco do brasil	2018-04-18 14:50:33	arthur	"RT @ApaquePE: É tempo de solidariedade. Vamos ajudar nossos irmãos de Bodocó, que sofreu com as fortes chuvas. 

Doações para os desabrigad…"	15	0		29	58
986616941539397632	banco do brasil	2018-04-18 14:46:23	Duda	Banco do Brasil sempre com suas cagadas né ??	0	0		210	122
