	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
984638552146366465	nubank	2018-04-13 03:44:59	Luciane Bins	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		47	173
984638446839959552	nubank	2018-04-13 03:44:34	NãoProAbacaxiNoLanche!	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		54	211
984638288945471488	nubank	2018-04-13 03:43:56	juliana campos	RT @YgorFremo: Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	0		49	337
984638110276472832	nubank	2018-04-13 03:43:13	Ygor Freitas	Fechou a fatura do Nubank https://t.co/4O1qT2ZTJL	33	199		143501	308
984634487609884672	nubank	2018-04-13 03:28:50	Pistonilha	"nossa a Nubank me aprovou. nunca fiquei tão feliz por causa da porra de um BANCO. 

o capitalismo tá me degenerando"	0	4		166	155
984633025316163589	nubank	2018-04-13 03:23:01	Superman	Oi! Estou te indicando pra pedir o Nubank. Use essa indicação pro seu pedido ter mais chances de ser aprovado! https://t.co/fsw1pZDvU1	0	0		190	126
984633010451513345	nubank	2018-04-13 03:22:57	flávia.	queria um nubank de crédito  mas eu nem ganho salário imagina o limite da minha conta 0 reais kk https://t.co/tZmErpyKF5	0	1		6153	1814
984630384603353088	nubank	2018-04-13 03:12:31	Tui	@nubank aí trollou	0	0		1258	309
984630268068876288	nubank	2018-04-13 03:12:04	Paulo	Eu só queria que o nubank aumentasse meu limite nunca pedi nada	0	0		6639	1881
984630191858356226	nubank	2018-04-13 03:11:45	Samara Grassotti	@nubank Eba! Blz! Mandando por lá :)	0	1		564	296
984630118588002304	nubank	2018-04-13 03:11:28	Nubank	@Tuie_ Já tentou pelo app? Por aqui não conseguimos influenciar na sua análise :)	0	0		104760	7063
984629942330720256	nubank	2018-04-13 03:10:46	Nubank	@safoguets Sa, dá uma ligadinha para nós ou entra em contato através do chat, vamos te ajudar mais rápido por lá ok? ;)	0	1		104760	7063
984629638235414528	nubank	2018-04-13 03:09:33	Dery Oliveira	Desconheço melhor atendimento igual o da Nubank	0	2		1816	1185
984628854957510656	nubank	2018-04-13 03:06:27	Boba	"RT @nando_costa99: Eu: Oi 

Nubank: infelizmente não podemos liberar um convite pra você nesse momento.

#nubank"	2	0		610	433
984626961132728320	nubank	2018-04-13 02:58:55	Samara Grassotti	@nubank oi, alguém aih? to tentando pagar uma compra, mas tá dando recusado ?	0	0		564	296
984626787912175616	nubank	2018-04-13 02:58:14	Tui	@nubank aumenta meu limite aí quero comprar uma JBL xtreme	0	0		1258	309
984625886338191365	nubank	2018-04-13 02:54:39	MenestrelKlein	@stfnrd @nubank atrasei e n vou pagar saporra nao	0	1		183	362
984625699674906624	nubank	2018-04-13 02:53:54	Ricardo Garden	@pedro_mourao @nubank Meu sonho hahahaha	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='d16815010421ff73', url='https://api.twitter.com/1.1/geo/id/d16815010421ff73.json', place_type='city', name='Fortaleza', full_name='Fortaleza, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-38.638212, -3.88818], [-38.401568, -3.88818], [-38.401568, -3.691356], [-38.638212, -3.691356]]]), attributes={})	861	518
984624963587059712	nubank	2018-04-13 02:50:59	fabrícioxlefèvre	@millenaprata @nubank to suave ????	0	0		217	120
984624901238685697	nubank	2018-04-13 02:50:44	marcelo do voley	meu deu preciso paga o nubank	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='6d5542f8d837770d', url='https://api.twitter.com/1.1/geo/id/6d5542f8d837770d.json', place_type='city', name='Curitiba', full_name='Curitiba, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-49.3916434, -25.6447517], [-49.1852775, -25.6447517], [-49.1852775, -25.3457471], [-49.3916434, -25.3457471]]]), attributes={})	48	244
984624839368601600	nubank	2018-04-13 02:50:29	millena	@Lefervo @nubank quer sim	0	0		564	298
984624195261911040	nubank	2018-04-13 02:47:56	Samuel Sucasas	@carlopaixao @blogcitario @nubank @Bancointer Claro, sem desmerecer nenhum. Porém é gosto.	0	0		157	199
984624129281150978	nubank	2018-04-13 02:47:40	Alberto Neto	Nubank Rewards vale a pena pra você? Confira: https://t.co/RxQpmo0Lmo https://t.co/EKqEKGE4Tk	0	0		15	114
984623961131675648	nubank	2018-04-13 02:47:00	millena	@Lefervo @nubank tu quer pagar minhas contas né	0	0		564	298
984623762862731264	nubank	2018-04-13 02:46:13	fabrícioxlefèvre	@millenaprata alô @nubank, anota aí millena prata não aprovar avisa lá eu que mandei	0	0		217	120
984622746385739776	nubank	2018-04-13 02:42:10	Nubank	@Matheusosouza Claro! Vem de DM que a gente providencia pra você, Theus! ?	0	1		104760	7063
984621643485106176	nubank	2018-04-13 02:37:47	Theus ?	@nubank quero mais adesivos , os meus acabaram ?? Quero espalhar pela casa ??	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='97bcdfca1a2dca59', url='https://api.twitter.com/1.1/geo/id/97bcdfca1a2dca59.json', place_type='city', name='Rio de Janeiro', full_name='Rio de Janeiro, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-43.795449, -23.08302], [-43.0877068, -23.08302], [-43.0877068, -22.7398234], [-43.795449, -22.7398234]]]), attributes={})	892	480
984620089176678400	nubank	2018-04-13 02:31:37	desempregado e falido	@Just_Nei @mAAdkiiid Tem uma coisa que ainda não entendi, você e um outro menino me disseram que faz todo o processo do cadastro da carteira, e depois envia a foto do id jovem. Só que ai eu ja vou ter passado pelo pagamento, dito isso, ja vai ter passado no meu nubank certo?	0	0		253	68
984619042689314816	nubank	2018-04-13 02:27:27	jade pêgas ?	um mês de muito amor bem roxinho ? em Nubank https://t.co/7yt6Q2Ia3U	0	0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	3448	963
984617457095774208	nubank	2018-04-13 02:21:09	Coruja Sonâmbula	"Apliquei pra fazer um NuBank e recebi um e-email ""Agora falta pouco pra você ser um Nu"""	0	1		546	191
984617084289212422	nubank	2018-04-13 02:19:40	Alan Silva ?	Jogando o cartão do nubank na tela do celular, nada acontece até agora. https://t.co/WPeqzlEDkd	0	0		451	1201
984617038445457408	nubank	2018-04-13 02:19:29	Paula	@hyou66 @nubank Meu sonho de princesa	0	0		265	389
984616792218882048	nubank	2018-04-13 02:18:31	Nubank	"@mrfahrenheits Alô, Nicholas! Nós não fazemos esse ajuste por aqui, só lá pelo app mesmo. Se vc solicitou lá e não foi liberado, é pq realmente não vai ser possível fazer o ajuste.

Se quiser, te damos umas dicas sobre limite lá na DM, que tal? ;)"	0	0		104760	7063
984616172237836289	nubank	2018-04-13 02:16:03	G33k_Gamer	@JapaGirlOficial Já respondi linda... Tudo certo de minha parte #NuBank na veia kkk	0	0		326	1039
984615559122874368	nubank	2018-04-13 02:13:37	nicholas (solange)	alo @nubank vamos liberar o aumento de limite do cartão para mim, plmdds	0	0		138	143
984615486280355840	nubank	2018-04-13 02:13:19	Lucas	Fiquei feliz por que a bolsa caiu porém acabei de pegar o caderninho de coisas para resolver e vejo que tem presente de mamãe, plano do celular, conta do nubank, credito na carteira, xerox, festa, Uber, Lanches e etc TCHAU BOLSA https://t.co/Z0MzyQ7wbo	0	0		403	585
984614351226265600	nubank	2018-04-13 02:08:49	Nubank	@Nahgila A análise é baseada em um modelo matemático que leva em consideração uma série de fatores. Caso queira entender melhor, chama a gente na DM. :)	0	0		104760	7063
984614242702815234	nubank	2018-04-13 02:08:23	Nubank	@skrshart Realmente a demanda é um pouco alta Adriano, nesse caso recomendamos vc a entrar em contato através dos nossos outros meios de atendimento. Nesse link vc consegue ver todos eles : https://t.co/ufogw9WCzL	0	0		104760	7063
984613497836376064	nubank	2018-04-13 02:05:25	Adriano Nascimento	@nubank Chega a demorar + de 12 dias pra responder uma DM? Sério? Oloco...	0	0		473	689
984613374251200517	nubank	2018-04-13 02:04:56	Nahgila Cameli	@paulocameli @nubank Boa sorte com essa luta! ??Já faz bastante tempo que te vejo pagar antecipado varias vezes ao mês, justamente pra poder recuperar o limite.. Análise incoerente, hein, @nubank ??	0	0		468	327
984613350133981184	nubank	2018-04-13 02:04:50	??????	Só queria que meu cartão chegasse logo #NuBank	0	0		334	112
984613112832720896	nubank	2018-04-13 02:03:53	Nubank	@skrshart Adri, a resposta pela DM pode demorar um pouquinho mesmo por conta da alta demanda. Em caso de urgência o ideal é entrar em contato por telefone ou por chat no nosso app ok? ;)	0	0		104760	7063
984612915247484929	nubank	2018-04-13 02:03:06	Antero	@nubank Graças a Deus! irei me livrar dos 10 reais cobrados pelos bancos pra transferir mesmo q por banking. Obrigado, nubank!	0	0		428	495
984612810771623936	nubank	2018-04-13 02:02:41	Carlos Paixão	@sucasas @blogcitario @nubank @Bancointer Sem demérito, os dois são bons, embora eu fique com o NuBank mesmo, obrigado, de nada. ?	0	0		89	100
