	Unnamed: 0	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos	tag	citados	n_citados
26620	986683332300767232	itau	2018-04-18 19:10:12	Rolf.	RT @Elimrocha: @itau Não vou resolver nada por Twitter. Já comuniquei a gerente. Estou apenas  divulgando a ineficiência de vcs, pois estou…	1.0	0.0		777.0	2683.0	itau	elimrocha: itau	2
26622	986683186049634304	itau	2018-04-18 19:09:37	isabela	@PortalLaliBR Ícone, to pronta pra pedir pra vir pro brasil. Talvez até role umas sessões em um lugar tipo itau cultural, nao? ?	0.0	0.0		2036.0	844.0	itau	portallalibr	1
26629	986682319359610881	itau	2018-04-18 19:06:11	Ah, aquele cara	@itau fiquei tão nervouser que coloquei acento	0.0	1.0		811.0	516.0	itau	itau	1
26630	986682139222659078	itau	2018-04-18 19:05:28	Sereia do Amor	RT @luaan61: Derrepente falta energia na agencia do Itaú de Manaus. Quando os eletricistas vão até a central de enegia, descobrem a causa d…	18.0	0.0		107.0	420.0	itau	luaan61	1
26631	986682095178264576	itau	2018-04-18 19:05:17	Vagas Empregos PR	Vagas p/ AGENTE COMERCIAL - Itaú Unibanco - São José dos Pinhais/PR - https://t.co/lV4lB0zbn6	0.0	0.0		9331.0	40.0	itau		0
26632	986681955554127873	itau	2018-04-18 19:04:44	JanioApoDiario ? ?	Atenção eleitor de Apodi, Felipe Guerra, Severiano Melo, Itaú e Rodolfo Fernandes - https://t.co/BbY42TXzM0 https://t.co/GfZuE7Bblu	0.0	0.0	Place(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, id='5e608706e6e4b42e', url='https://api.twitter.com/1.1/geo/id/5e608706e6e4b42e.json', place_type='city', name='Apodi', full_name='Apodi, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000164EC8A00F0>, type='Polygon', coordinates=[[[-38.090172, -5.9457594], [-37.6475765, -5.9457594], [-37.6475765, -5.308326], [-38.090172, -5.308326]]]), attributes={})	563.0	445.0	itau		0
26635	986681860947406851	itau	2018-04-18 19:04:21	Sindi Sousa	O @itau tem um movimento muito bacana sobre isso. ‘Leia para uma criança’. Enviam livros infantis gratuitamente. Sempre peço para minha sobrinha :) https://t.co/rPLtRqlhcS	0.0	0.0		111.0	381.0	itau	itau	1
26637	986681605661122562	itau	2018-04-18 19:03:21	Ah, aquele cara	O @itaú foi sensacional https://t.co/fNivR8ysNM	0.0	18.0		811.0	516.0	itau	itaú	1
26639	986681271001608192	itau	2018-04-18 19:02:01	Yas	Fui hoje no Itaú e tomei um susto, conhecia quase ninguém que está trbalhando agora lá, fiquei, ue	0.0	0.0		1276.0	1162.0	itau		0
26642	986680730938986497	itau	2018-04-18 18:59:52	Eduardo Oliveira	"@itau @raphaeltannus estão finalizando os testes faz mais de ano, segundo vocês mesmos
porque tanta demora?"	0.0	1.0		27.0	179.0	itau	itau raphaeltannus	2
